task,dim,budget,seed,variant,final_best,auc_best,regret,runtime_s,n_leaves,global_coherence,potential_std,coherence_std,potential_scale
Sphere,20,500,0,none,15.886492981800242,29.592447330643697,15.886492981800242,1.240893658999994,6.0,,,,
Sphere,20,500,0,coherence,15.886492981800242,29.592447330643697,15.886492981800242,1.2054973329995846,6.0,0.4246061222187529,0.0,0.024465999202251485,0.0
Sphere,20,500,0,potential,15.886492981800242,29.592447330643697,15.886492981800242,1.1399722559999645,6.0,0.4246061222187529,0.0,0.024465999202251485,0.0
Sphere,20,500,0,both,15.886492981800242,29.592447330643697,15.886492981800242,1.174068330999944,6.0,0.4246061222187529,0.0,0.024465999202251485,0.0
Sphere,20,500,1,none,16.878425772630894,37.636186386937666,16.878425772630894,1.1199607809994632,6.0,,,,
Sphere,20,500,1,coherence,15.0092087306038,37.96775937657289,15.0092087306038,1.2050476370004617,5.0,0.4656280576531712,0.0,0.07010293748618976,0.0
Sphere,20,500,1,potential,16.878425772630894,37.636186386937666,16.878425772630894,1.1516943810001976,6.0,0.4860694741682192,0.3210560641321374,0.037123870036902096,0.0
Sphere,20,500,1,both,15.0092087306038,37.96775937657289,15.0092087306038,1.1699080889993638,5.0,0.4656280576531712,0.0,0.07010293748618976,0.0
Sphere,20,500,2,none,12.058006668593357,27.320073653586697,12.058006668593357,1.1184499009996216,5.0,,,,
Sphere,20,500,2,coherence,12.058006668593357,27.320073653586697,12.058006668593357,1.3309116800010088,5.0,0.424955586600266,0.0,0.019373344854095472,0.0
Sphere,20,500,2,potential,12.058006668593357,27.320073653586697,12.058006668593357,1.166076579998844,5.0,0.424955586600266,0.0,0.019373344854095472,0.0
Sphere,20,500,2,both,12.058006668593357,27.320073653586697,12.058006668593357,1.173172186998272,5.0,0.424955586600266,0.0,0.019373344854095472,0.0
Sphere,20,500,3,none,8.872476972906567,21.831963690204205,8.872476972906567,1.282796577001136,5.0,,,,
Sphere,20,500,3,coherence,8.872476972906567,21.831963690204205,8.872476972906567,1.1219159629999922,5.0,0.4908146728088221,0.36567790371196157,0.020246220802592436,0.0
Sphere,20,500,3,potential,8.872476972906567,21.831963690204205,8.872476972906567,1.1925447279991204,5.0,0.49057489278353544,0.36666891620304726,0.020941778054129345,0.0
Sphere,20,500,3,both,8.872476972906567,21.831963690204205,8.872476972906567,1.2248549279993313,5.0,0.4908146728088221,0.36567790371196157,0.020246220802592436,0.0
Sphere,20,500,4,none,7.763920976032621,19.97091321307298,7.763920976032621,1.1939625940012775,7.0,,,,
Sphere,20,500,4,coherence,9.46713600462201,19.996373577149832,9.46713600462201,2.130847962000189,7.0,0.4898153927795307,0.2991696388615671,0.042565451020773186,0.0
Sphere,20,500,4,potential,7.763920976032621,19.97091321307298,7.763920976032621,1.1357749230010086,7.0,0.49573318467433747,0.29055291403398487,0.04217105277453072,0.0
Sphere,20,500,4,both,9.46713600462201,19.996373577149832,9.46713600462201,1.093434154001443,7.0,0.4898153927795307,0.2991696388615671,0.042565451020773186,0.0
Sphere,20,500,5,none,11.982807667696195,32.263891739752516,11.982807667696195,1.137338014999841,6.0,,,,
Sphere,20,500,5,coherence,8.768919355763373,32.23446339215113,8.768919355763373,1.1579559259989765,6.0,0.5036317931813704,0.3404318442331881,0.027735152773168695,0.012093871293963476
Sphere,20,500,5,potential,11.982807667696195,32.263891739752516,11.982807667696195,1.0951855610001076,6.0,0.5146456823740135,0.32512960456686407,0.024877110215705996,0.048770122305465076
Sphere,20,500,5,both,8.768919355763373,32.23446339215113,8.768919355763373,1.0938932400003978,6.0,0.5036317931813704,0.3404318442331881,0.027735152773168695,0.012093871293963476
Sphere,20,500,6,none,13.922618021217758,28.71087772620767,13.922618021217758,1.1330516010002611,5.0,,,,
Sphere,20,500,6,coherence,11.987630766780955,28.53475919742011,11.987630766780955,1.1495250049993047,5.0,0.48245990371616054,0.3477977855155605,0.03662686731355436,0.0
Sphere,20,500,6,potential,13.922618021217758,28.71087772620767,13.922618021217758,1.2018174800014094,5.0,0.4502243552657878,0.0,0.03313981868292101,0.0
Sphere,20,500,6,both,11.987630766780955,28.53475919742011,11.987630766780955,1.1675185700005386,5.0,0.48245990371616054,0.3477977855155605,0.03662686731355436,0.0
Sphere,20,500,7,none,8.339031098115846,19.108590539574653,8.339031098115846,1.2567483829989214,7.0,,,,
Sphere,20,500,7,coherence,7.6194111755633065,19.063198292225884,7.6194111755633065,1.1897336590009218,7.0,0.4676071723167637,0.33856468941768403,0.03432090474407162,0.0
Sphere,20,500,7,potential,8.339031098115846,19.108590539574653,8.339031098115846,1.1797872560000542,7.0,0.47540377503304226,0.32051880915469644,0.03303137807363435,0.0
Sphere,20,500,7,both,7.6194111755633065,19.063198292225884,7.6194111755633065,1.2125794509993284,7.0,0.4676071723167637,0.33856468941768403,0.03432090474407162,0.0
Rastrigin,20,500,0,none,163.58877948170158,187.02358394610522,163.58877948170158,1.1194728890004626,6.0,,,,
Rastrigin,20,500,0,coherence,163.58877948170158,187.02358394610522,163.58877948170158,1.340414915999645,6.0,0.45154089417718146,0.3660158856342304,0.025196929631959936,0.0
Rastrigin,20,500,0,potential,163.58877948170158,187.02358394610522,163.58877948170158,1.240056166998329,6.0,0.45154089417718146,0.3660158856342304,0.025196929631959936,0.0
Rastrigin,20,500,0,both,163.58877948170158,187.02358394610522,163.58877948170158,1.12319326800025,6.0,0.45154089417718146,0.3660158856342304,0.025196929631959936,0.0
Rastrigin,20,500,1,none,176.55705913655845,181.13915221510345,176.55705913655845,1.1449825979998423,6.0,,,,
Rastrigin,20,500,1,coherence,176.55705913655845,181.13915221510345,176.55705913655845,1.158194994999576,6.0,0.44598414914175966,0.0,0.04374148670828559,0.0
Rastrigin,20,500,1,potential,171.34500489295894,181.00363880476988,171.34500489295894,1.1067206959996838,6.0,0.4515505548721621,0.0,0.04287766013143057,0.0
Rastrigin,20,500,1,both,176.55705913655845,181.13915221510345,176.55705913655845,1.154510902999391,6.0,0.44598414914175966,0.0,0.04374148670828559,0.0
