task,dim,budget,seed,variant,final_best,auc_best,regret,runtime_s,n_leaves,global_coherence,potential_std,coherence_std,potential_scale
Sphere,20,500,0,none,15.886492981800242,29.592447330643697,15.886492981800242,1.7512542339991342,6.0,,,,
Sphere,20,500,0,coherence,15.886492981800242,29.592447330643697,15.886492981800242,1.6571397209991119,6.0,0.4246061222187529,0.0,0.024465999202251485,0.0
Sphere,20,500,0,potential,15.886492981800242,29.592447330643697,15.886492981800242,1.665577025998573,6.0,0.4246061222187529,0.0,0.024465999202251485,0.0
Sphere,20,500,0,both,15.886492981800242,29.592447330643697,15.886492981800242,1.4031398570004967,6.0,0.4246061222187529,0.0,0.024465999202251485,0.0
Sphere,20,500,1,none,16.878425772630894,37.636186386937666,16.878425772630894,2.072052655999869,6.0,,,,
Sphere,20,500,1,coherence,15.0092087306038,37.96775937657289,15.0092087306038,2.5040281170004164,5.0,0.4656280576531712,0.0,0.07010293748618976,0.0
Sphere,20,500,1,potential,16.878425772630894,37.636186386937666,16.878425772630894,2.8394886030000634,6.0,0.4860694741682192,0.3210560641321374,0.037123870036902096,0.0
Sphere,20,500,1,both,15.0092087306038,37.96775937657289,15.0092087306038,3.0201053759992647,5.0,0.4656280576531712,0.0,0.07010293748618976,0.0
Sphere,20,500,2,none,12.058006668593357,27.320073653586697,12.058006668593357,3.344284216000233,5.0,,,,
Sphere,20,500,2,coherence,12.058006668593357,27.320073653586697,12.058006668593357,3.2115809110000555,5.0,0.424955586600266,0.0,0.019373344854095472,0.0
Sphere,20,500,2,potential,12.058006668593357,27.320073653586697,12.058006668593357,2.8532243899990135,5.0,0.424955586600266,0.0,0.019373344854095472,0.0
Sphere,20,500,2,both,12.058006668593357,27.320073653586697,12.058006668593357,2.460352985001009,5.0,0.424955586600266,0.0,0.019373344854095472,0.0
Sphere,20,500,3,none,8.872476972906567,21.831963690204205,8.872476972906567,2.565291688000798,5.0,,,,
Sphere,20,500,3,coherence,8.872476972906567,21.831963690204205,8.872476972906567,2.7776991259997885,5.0,0.4908146728088221,0.36567790371196157,0.020246220802592436,0.0
Sphere,20,500,3,potential,8.872476972906567,21.831963690204205,8.872476972906567,2.5412457330003235,5.0,0.49057489278353544,0.36666891620304726,0.020941778054129345,0.0
Sphere,20,500,3,both,8.872476972906567,21.831963690204205,8.872476972906567,2.5306807849992765,5.0,0.4908146728088221,0.36567790371196157,0.020246220802592436,0.0
Sphere,20,500,4,none,7.763920976032621,19.97091321307298,7.763920976032621,2.50201288900098,7.0,,,,
Sphere,20,500,4,coherence,9.46713600462201,19.996373577149832,9.46713600462201,2.538894228000572,7.0,0.4898153927795307,0.2991696388615671,0.042565451020773186,0.0
Sphere,20,500,4,potential,7.763920976032621,19.97091321307298,7.763920976032621,2.5107861220003542,7.0,0.49573318467433747,0.29055291403398487,0.04217105277453072,0.0
Sphere,20,500,4,both,9.46713600462201,19.996373577149832,9.46713600462201,2.4828169329994125,7.0,0.4898153927795307,0.2991696388615671,0.042565451020773186,0.0
Sphere,20,500,5,none,11.982807667696195,32.263891739752516,11.982807667696195,2.2802763670006243,6.0,,,,
Sphere,20,500,5,coherence,8.768919355763373,32.23446339215113,8.768919355763373,2.3231811309997283,6.0,0.5036317931813704,0.3404318442331881,0.027735152773168695,0.012093871293963476
Sphere,20,500,5,potential,11.982807667696195,32.263891739752516,11.982807667696195,2.7085927589996572,6.0,0.5146456823740135,0.32512960456686407,0.024877110215705996,0.048770122305465076
Sphere,20,500,5,both,8.768919355763373,32.23446339215113,8.768919355763373,2.473570853999263,6.0,0.5036317931813704,0.3404318442331881,0.027735152773168695,0.012093871293963476
Sphere,20,500,6,none,13.922618021217758,28.71087772620767,13.922618021217758,2.8420420740003465,5.0,,,,
Sphere,20,500,6,coherence,11.987630766780955,28.53475919742011,11.987630766780955,2.299978385999566,5.0,0.48245990371616054,0.3477977855155605,0.03662686731355436,0.0
Sphere,20,500,6,potential,13.922618021217758,28.71087772620767,13.922618021217758,2.3475560509996285,5.0,0.4502243552657878,0.0,0.03313981868292101,0.0
Sphere,20,500,6,both,11.987630766780955,28.53475919742011,11.987630766780955,2.432951922000939,5.0,0.48245990371616054,0.3477977855155605,0.03662686731355436,0.0
Sphere,20,500,7,none,8.339031098115846,19.108590539574653,8.339031098115846,2.4716335299999628,7.0,,,,
Sphere,20,500,7,coherence,7.6194111755633065,19.063198292225884,7.6194111755633065,2.6999366649997683,7.0,0.4676071723167637,0.33856468941768403,0.03432090474407162,0.0
Sphere,20,500,7,potential,8.339031098115846,19.108590539574653,8.339031098115846,2.482775832999323,7.0,0.47540377503304226,0.32051880915469644,0.03303137807363435,0.0
Sphere,20,500,7,both,7.6194111755633065,19.063198292225884,7.6194111755633065,2.697806139000022,7.0,0.4676071723167637,0.33856468941768403,0.03432090474407162,0.0
Rastrigin,20,500,0,none,163.58877948170158,187.02358394610522,163.58877948170158,3.5279199730011896,6.0,,,,
Rastrigin,20,500,0,coherence,163.58877948170158,187.02358394610522,163.58877948170158,2.3828756769999018,6.0,0.45154089417718146,0.3660158856342304,0.025196929631959936,0.0
Rastrigin,20,500,0,potential,163.58877948170158,187.02358394610522,163.58877948170158,2.6164689470006124,6.0,0.45154089417718146,0.3660158856342304,0.025196929631959936,0.0
Rastrigin,20,500,0,both,163.58877948170158,187.02358394610522,163.58877948170158,2.468318745999568,6.0,0.45154089417718146,0.3660158856342304,0.025196929631959936,0.0
Rastrigin,20,500,1,none,176.55705913655845,181.13915221510345,176.55705913655845,2.44108998000047,6.0,,,,
Rastrigin,20,500,1,coherence,176.55705913655845,181.13915221510345,176.55705913655845,2.530339910001203,6.0,0.44598414914175966,0.0,0.04374148670828559,0.0
Rastrigin,20,500,1,potential,171.34500489295894,181.00363880476988,171.34500489295894,2.3949003889993037,6.0,0.4515505548721621,0.0,0.04287766013143057,0.0
Rastrigin,20,500,1,both,176.55705913655845,181.13915221510345,176.55705913655845,2.3134196959999827,6.0,0.44598414914175966,0.0,0.04374148670828559,0.0
Rastrigin,20,500,2,none,157.38688810543044,181.85216839107707,157.38688810543044,2.390417028000229,6.0,,,,
Rastrigin,20,500,2,coherence,164.06342820402045,181.64814714967983,164.06342820402045,2.522490946999824,6.0,0.4544243942991201,0.32054695951938034,0.044281601961742204,0.0
Rastrigin,20,500,2,potential,157.38688810543044,181.85216839107707,157.38688810543044,2.23096617200099,6.0,0.45470148164823065,0.30044256379476075,0.03321400053816178,0.0
Rastrigin,20,500,2,both,164.06342820402045,181.64814714967983,164.06342820402045,2.206991184999424,6.0,0.4544243942991201,0.32054695951938034,0.044281601961742204,0.0
Rastrigin,20,500,3,none,164.2953443654619,187.13275324488362,164.2953443654619,1.970591859999331,6.0,,,,
Rastrigin,20,500,3,coherence,164.2953443654619,187.13275324488362,164.2953443654619,2.0330453229998966,6.0,0.4660415445261078,0.35960185182476695,0.05149054420018848,0.0
Rastrigin,20,500,3,potential,164.2953443654619,187.13275324488362,164.2953443654619,2.092897055999856,6.0,0.4820467989420079,0.3377918378074622,0.053391124404953146,0.0
Rastrigin,20,500,3,both,164.2953443654619,187.13275324488362,164.2953443654619,1.3303298959999665,6.0,0.4660415445261078,0.35960185182476695,0.05149054420018848,0.0
Rastrigin,20,500,4,none,142.67625302317984,170.17760289559163,142.67625302317984,1.4686269009998796,5.0,,,,
Rastrigin,20,500,4,coherence,142.67625302317984,170.17760289559163,142.67625302317984,1.460636952000641,5.0,0.47278977760293117,0.3433688170193985,0.026881018377161572,0.0
Rastrigin,20,500,4,potential,142.67625302317984,170.17760289559163,142.67625302317984,1.4119014679999964,5.0,0.4480117625921025,0.37408188054310526,0.033021228334082525,0.0
Rastrigin,20,500,4,both,142.67625302317984,170.17760289559163,142.67625302317984,1.3055269239994232,5.0,0.47278977760293117,0.3433688170193985,0.026881018377161572,0.0
Rastrigin,20,500,5,none,171.59781605184875,187.09374838982424,171.59781605184875,1.404671149999558,6.0,,,,
Rastrigin,20,500,5,coherence,171.59781605184875,187.09374838982424,171.59781605184875,1.3789902939988679,6.0,0.45393365856047013,0.366438187441659,0.03118522600183033,0.0
Rastrigin,20,500,5,potential,171.59781605184875,187.09374838982424,171.59781605184875,1.3421706179997273,6.0,0.45393365856047013,0.366438187441659,0.03118522600183033,0.0
Rastrigin,20,500,5,both,171.59781605184875,187.09374838982424,171.59781605184875,1.3283098809988587,6.0,0.45393365856047013,0.366438187441659,0.03118522600183033,0.0
Rastrigin,20,500,6,none,122.13956892483255,169.34293898458682,122.13956892483255,1.2933166590009932,6.0,,,,
Rastrigin,20,500,6,coherence,122.13956892483255,169.34293898458682,122.13956892483255,1.4166814330001216,6.0,0.47250702274829576,0.3059048128881956,0.03893835329564173,0.0
Rastrigin,20,500,6,potential,122.13956892483255,169.34293898458682,122.13956892483255,1.2557793089999905,6.0,0.47250702274829576,0.3059048128881956,0.03893835329564173,0.0
Rastrigin,20,500,6,both,122.13956892483255,169.34293898458682,122.13956892483255,1.5622019539987377,6.0,0.47250702274829576,0.3059048128881956,0.03893835329564173,0.0
Rastrigin,20,500,7,none,155.76675029859706,181.84898799497793,155.76675029859706,1.350569619999078,6.0,,,,
Rastrigin,20,500,7,coherence,157.58843003526846,181.85627471392462,157.58843003526846,1.3382465560007404,6.0,0.5166047245542023,0.3071734358628916,0.039705584470769585,0.05529373276549351
Rastrigin,20,500,7,potential,155.76675029859706,181.84898799497793,155.76675029859706,1.2992293120005343,6.0,0.5204614576496112,0.3062823072714346,0.04074925989948781,0.06813665397320516
Rastrigin,20,500,7,both,157.58843003526846,181.85627471392462,157.58843003526846,1.370874726000693,6.0,0.5166047245542023,0.3071734358628916,0.039705584470769585,0.05529373276549351
Rosenbrock,20,500,0,none,36537.581923970676,174569.27068399827,36537.581923970676,1.5250661039990518,6.0,,,,
Rosenbrock,20,500,0,coherence,36537.581923970676,174569.27068399827,36537.581923970676,1.366024462000496,6.0,0.5196618655199311,0.294991420538082,0.07433437716989436,0.06547401218137056
Rosenbrock,20,500,0,potential,36537.581923970676,174569.27068399827,36537.581923970676,2.6319006700014143,6.0,0.5196618655199311,0.294991420538082,0.07433437716989436,0.06547401218137056
Rosenbrock,20,500,0,both,36537.581923970676,174569.27068399827,36537.581923970676,1.3531923340015055,6.0,0.5196618655199311,0.294991420538082,0.07433437716989436,0.06547401218137056
Rosenbrock,20,500,1,none,7707.311063211135,105765.2080516431,7707.311063211135,1.4073012209992157,6.0,,,,
Rosenbrock,20,500,1,coherence,7707.311063211135,105765.2080516431,7707.311063211135,1.5472836589997314,6.0,0.5310029165345604,0.35467577498389735,0.032912695275663366,0.10323971206008628
Rosenbrock,20,500,1,potential,7707.311063211135,105765.2080516431,7707.311063211135,1.5215937370012398,6.0,0.5315002748541623,0.3631356634929586,0.036928549191435685,0.10489591526436043
Rosenbrock,20,500,1,both,7707.311063211135,105765.2080516431,7707.311063211135,1.508795353000096,6.0,0.5310029165345604,0.35467577498389735,0.032912695275663366,0.10323971206008628
Rosenbrock,20,500,2,none,9400.5320458902,69597.22888433041,9400.5320458902,1.4142003890010528,6.0,,,,
Rosenbrock,20,500,2,coherence,3830.8573752135107,69381.95851641145,3830.8573752135107,1.4443815220001852,6.0,0.5617991806314133,0.3416876659229575,0.028912657774023742,0.20579127150260637
Rosenbrock,20,500,2,potential,3830.8573752135107,69381.95851641145,3830.8573752135107,1.5363234180003928,6.0,0.5617991806314133,0.3416876659229575,0.028912657774023742,0.20579127150260637
Rosenbrock,20,500,2,both,3830.8573752135107,69381.95851641145,3830.8573752135107,1.3514455599997746,6.0,0.5617991806314133,0.3416876659229575,0.028912657774023742,0.20579127150260637
Rosenbrock,20,500,3,none,10469.029161754333,71108.82586953619,10469.029161754333,1.2863444300000992,5.0,,,,
Rosenbrock,20,500,3,coherence,9221.196765410075,70985.69241075816,9221.196765410075,1.4182923330008634,6.0,0.5633681388858296,0.36353937733881486,0.0547831864304145,0.21101590248981256
Rosenbrock,20,500,3,potential,10469.029161754333,71108.82586953619,10469.029161754333,1.4454492920012854,5.0,0.534710513593769,0.3996099968136187,0.022313625487538423,0.1155860102672507
Rosenbrock,20,500,3,both,9221.196765410075,70985.69241075816,9221.196765410075,1.323437995999484,6.0,0.5633681388858296,0.36353937733881486,0.0547831864304145,0.21101590248981256
Rosenbrock,20,500,4,none,10015.20386810021,96573.4987787408,10015.20386810021,1.4037333090000175,6.0,,,,
Rosenbrock,20,500,4,coherence,13376.145620370875,96708.81792052583,13376.145620370875,1.3958773909998854,6.0,0.5264873106924807,0.40060960195749307,0.04025053920286921,0.08820274460596063
Rosenbrock,20,500,4,potential,10015.20386810021,96573.4987787408,10015.20386810021,1.4006387750014255,6.0,0.4687868864840214,0.2922969832961143,0.026924903623630345,0.0
Rosenbrock,20,500,4,both,13376.145620370875,96708.81792052583,13376.145620370875,1.2958102519987733,6.0,0.5264873106924807,0.40060960195749307,0.04025053920286921,0.08820274460596063
Rosenbrock,20,500,5,none,43736.58184710206,182463.41491253863,43736.58184710206,1.4581619090004097,6.0,,,,
Rosenbrock,20,500,5,coherence,43736.58184710206,182463.41491253863,43736.58184710206,1.4357668650009145,6.0,0.486176818804432,0.35463136469264805,0.03721449688538785,0.0
Rosenbrock,20,500,5,potential,43736.58184710206,182463.41491253863,43736.58184710206,1.3951690449994203,6.0,0.486176818804432,0.35463136469264805,0.03721449688538785,0.0
Rosenbrock,20,500,5,both,43736.58184710206,182463.41491253863,43736.58184710206,1.4275097089994233,6.0,0.486176818804432,0.35463136469264805,0.03721449688538785,0.0
Rosenbrock,20,500,6,none,5221.36564606766,158280.46971872475,5221.36564606766,1.491172309999456,5.0,,,,
Rosenbrock,20,500,6,coherence,5221.36564606766,158280.46971872475,5221.36564606766,1.3262229319989274,5.0,0.519363044621621,0.3632332780229232,0.03467224745279257,0.06447893858999784
Rosenbrock,20,500,6,potential,5221.36564606766,158280.46971872475,5221.36564606766,1.3447329059999902,5.0,0.519363044621621,0.3632332780229232,0.03467224745279257,0.06447893858999784
