task,dim,budget,seed,variant,final_best,auc_best,regret,runtime_s,n_leaves,global_coherence,potential_std,coherence_std,potential_scale
Sphere,2,200,0,none,0.050444814958401696,0.6786917007756625,0.050444814958401696,0.1035748539998167,22.0,,,,
Sphere,2,200,0,coherence,0.052892398645079566,0.6805036914764899,0.052892398645079566,0.14194171800045297,25.0,0.7589599383798808,0.23698892990455492,0.12011774005330862,0.8623365948050032
Sphere,2,200,0,potential,0.007648404912606841,0.6774486366585838,0.007648404912606841,0.14435816799959866,25.0,0.8301602799083105,0.21781406327235925,0.17267447064757596,1.0
Sphere,2,200,0,both,0.02774164232453488,0.6770826365679028,0.02774164232453488,0.1350483250007528,22.0,0.765986255601099,0.2183768310051937,0.16897436668971003,0.8857342311516597
Sphere,2,200,1,none,0.0003334034601201986,0.27553197870991997,0.0003334034601201986,0.09870208100073796,25.0,,,,
Sphere,2,200,1,coherence,0.01331346609432891,0.28655738427686644,0.01331346609432891,0.13919789799911086,23.0,0.6685868027356927,0.24205524863381092,0.13611140564596413,0.5613940531098567
Sphere,2,200,1,potential,0.0007714546552561689,0.2750419179976756,0.0007714546552561689,0.14630822700019053,24.0,0.6731931685509048,0.2355744089802326,0.14835355290840413,0.5767332512745131
Sphere,2,200,1,both,0.003912856161980223,0.2865908364486187,0.003912856161980223,0.13590022599964868,20.0,0.6487083269319787,0.28475973393594833,0.12838823890656373,0.49519872868348896
Sphere,2,200,2,none,0.0026917069679381453,1.8342555229952273,0.0026917069679381453,0.0982014290002553,23.0,,,,
Sphere,2,200,2,coherence,0.015475941934318737,1.2790086783431136,0.015475941934318737,0.13946160300110932,21.0,0.7237496456553335,0.23762886426200738,0.1379119288053558,0.7450863200322606
Sphere,2,200,2,potential,0.012412542152268832,1.869146952893073,0.012412542152268832,0.14769515700027114,24.0,0.6934692060184505,0.2395767998308185,0.12755418096384666,0.6442524560414402
Sphere,2,200,2,both,0.018707495945797792,1.3272799956031078,0.018707495945797792,0.12929397399966547,20.0,0.7874727044782203,0.24448000533248304,0.20870065349838063,0.9572841059124735
Sphere,2,200,3,none,0.028026491813066556,0.37519276926566214,0.028026491813066556,0.09552516899930197,24.0,,,,
Sphere,2,200,3,coherence,0.000543135237681768,0.3586444850675021,0.000543135237681768,0.1492923059995519,25.0,0.6787343806043946,0.23459745074671903,0.16260673686028196,0.5951854874126341
Sphere,2,200,3,potential,0.006769767431619367,0.37317338044942466,0.006769767431619367,0.12748445400029595,22.0,0.7093123584014411,0.25482792527106435,0.14827454176927962,0.697010153476799
