QUADRATIC FIT | N_pts=26 | Dim=5 | Cond=5.14e+01 | CoeffNorm=0.09 | NoiseVar=2.33e-04 | Y_range=9.63e-02
QUADRATIC FIT | N_pts=26 | Dim=5 | Cond=5.14e+01 | CoeffNorm=0.09 | NoiseVar=2.33e-04 | Y_range=9.63e-02
QUADRATIC FIT | N_pts=26 | Dim=5 | Cond=5.14e+01 | CoeffNorm=0.09 | NoiseVar=2.33e-04 | Y_range=9.63e-02
QUADRATIC FIT | N_pts=26 | Dim=5 | Cond=5.14e+01 | CoeffNorm=0.09 | NoiseVar=2.33e-04 | Y_range=9.63e-02
QUADRATIC FIT | N_pts=26 | Dim=5 | Cond=5.14e+01 | CoeffNorm=0.09 | NoiseVar=2.33e-04 | Y_range=9.63e-02
QUADRATIC FIT | N_pts=27 | Dim=5 | Cond=5.49e+01 | CoeffNorm=0.09 | NoiseVar=2.26e-04 | Y_range=9.63e-02
QUADRATIC FIT | N_pts=28 | Dim=5 | Cond=5.71e+01 | CoeffNorm=0.09 | NoiseVar=2.21e-04 | Y_range=9.63e-02
QUADRATIC FIT | N_pts=28 | Dim=5 | Cond=5.71e+01 | CoeffNorm=0.09 | NoiseVar=2.21e-04 | Y_range=9.63e-02
QUADRATIC FIT | N_pts=28 | Dim=5 | Cond=5.71e+01 | CoeffNorm=0.09 | NoiseVar=2.21e-04 | Y_range=9.63e-02
QUADRATIC FIT | N_pts=29 | Dim=5 | Cond=6.13e+01 | CoeffNorm=0.09 | NoiseVar=2.16e-04 | Y_range=9.63e-02
QUADRATIC FIT | N_pts=29 | Dim=5 | Cond=6.13e+01 | CoeffNorm=0.09 | NoiseVar=2.16e-04 | Y_range=9.63e-02
QUADRATIC FIT | N_pts=30 | Dim=5 | Cond=6.39e+01 | CoeffNorm=0.09 | NoiseVar=2.09e-04 | Y_range=9.63e-02
QUADRATIC FIT | N_pts=26 | Dim=5 | Cond=3.74e+01 | CoeffNorm=0.05 | NoiseVar=4.84e-05 | Y_range=5.05e-02
QUADRATIC FIT | N_pts=30 | Dim=5 | Cond=6.39e+01 | CoeffNorm=0.09 | NoiseVar=2.09e-04 | Y_range=9.63e-02
QUADRATIC FIT | N_pts=26 | Dim=5 | Cond=3.74e+01 | CoeffNorm=0.05 | NoiseVar=4.84e-05 | Y_range=5.05e-02
QUADRATIC FIT | N_pts=31 | Dim=5 | Cond=6.33e+01 | CoeffNorm=0.09 | NoiseVar=2.01e-04 | Y_range=9.63e-02
QUADRATIC FIT | N_pts=32 | Dim=5 | Cond=6.19e+01 | CoeffNorm=0.09 | NoiseVar=1.94e-04 | Y_range=9.63e-02
QUADRATIC FIT | N_pts=32 | Dim=5 | Cond=6.19e+01 | CoeffNorm=0.09 | NoiseVar=1.94e-04 | Y_range=9.63e-02
QUADRATIC FIT | N_pts=26 | Dim=5 | Cond=3.74e+01 | CoeffNorm=0.05 | NoiseVar=4.84e-05 | Y_range=5.05e-02
QUADRATIC FIT | N_pts=33 | Dim=5 | Cond=6.16e+01 | CoeffNorm=0.09 | NoiseVar=1.94e-04 | Y_range=9.63e-02
QUADRATIC FIT | N_pts=27 | Dim=5 | Cond=3.76e+01 | CoeffNorm=0.05 | NoiseVar=4.64e-05 | Y_range=5.05e-02
QUADRATIC FIT | N_pts=33 | Dim=5 | Cond=6.16e+01 | CoeffNorm=0.09 | NoiseVar=1.94e-04 | Y_range=9.63e-02
QUADRATIC FIT | N_pts=27 | Dim=5 | Cond=3.76e+01 | CoeffNorm=0.05 | NoiseVar=4.64e-05 | Y_range=5.05e-02
QUADRATIC FIT | N_pts=28 | Dim=5 | Cond=3.72e+01 | CoeffNorm=0.05 | NoiseVar=4.57e-05 | Y_range=5.05e-02
QUADRATIC FIT | N_pts=33 | Dim=5 | Cond=6.16e+01 | CoeffNorm=0.09 | NoiseVar=1.94e-04 | Y_range=9.63e-02
QUADRATIC FIT | N_pts=28 | Dim=5 | Cond=3.72e+01 | CoeffNorm=0.05 | NoiseVar=4.57e-05 | Y_range=5.05e-02
QUADRATIC FIT | N_pts=34 | Dim=5 | Cond=6.41e+01 | CoeffNorm=0.09 | NoiseVar=1.89e-04 | Y_range=9.63e-02
QUADRATIC FIT | N_pts=34 | Dim=5 | Cond=6.41e+01 | CoeffNorm=0.09 | NoiseVar=1.89e-04 | Y_range=9.63e-02
QUADRATIC FIT | N_pts=28 | Dim=5 | Cond=3.72e+01 | CoeffNorm=0.05 | NoiseVar=4.57e-05 | Y_range=5.05e-02
QUADRATIC FIT | N_pts=29 | Dim=5 | Cond=3.69e+01 | CoeffNorm=0.05 | NoiseVar=4.53e-05 | Y_range=5.05e-02
QUADRATIC FIT | N_pts=26 | Dim=5 | Cond=3.87e+01 | CoeffNorm=0.03 | NoiseVar=9.57e-06 | Y_range=2.36e-02
QUADRATIC FIT | N_pts=26 | Dim=5 | Cond=4.94e+01 | CoeffNorm=0.28 | NoiseVar=1.01e-03 | Y_range=1.65e-01
QUADRATIC FIT | N_pts=27 | Dim=5 | Cond=5.10e+01 | CoeffNorm=0.29 | NoiseVar=9.74e-04 | Y_range=1.65e-01
QUADRATIC FIT | N_pts=27 | Dim=5 | Cond=5.10e+01 | CoeffNorm=0.29 | NoiseVar=9.74e-04 | Y_range=1.65e-01
QUADRATIC FIT | N_pts=28 | Dim=5 | Cond=5.02e+01 | CoeffNorm=0.29 | NoiseVar=9.32e-04 | Y_range=1.65e-01
QUADRATIC FIT | N_pts=28 | Dim=5 | Cond=5.02e+01 | CoeffNorm=0.29 | NoiseVar=9.32e-04 | Y_range=1.65e-01
QUADRATIC FIT | N_pts=29 | Dim=5 | Cond=5.28e+01 | CoeffNorm=0.29 | NoiseVar=9.11e-04 | Y_range=1.65e-01
QUADRATIC FIT | N_pts=29 | Dim=5 | Cond=5.28e+01 | CoeffNorm=0.29 | NoiseVar=9.11e-04 | Y_range=1.65e-01
QUADRATIC FIT | N_pts=30 | Dim=5 | Cond=5.20e+01 | CoeffNorm=0.29 | NoiseVar=8.79e-04 | Y_range=1.65e-01
QUADRATIC FIT | N_pts=30 | Dim=5 | Cond=5.20e+01 | CoeffNorm=0.29 | NoiseVar=8.79e-04 | Y_range=1.65e-01
QUADRATIC FIT | N_pts=30 | Dim=5 | Cond=5.20e+01 | CoeffNorm=0.29 | NoiseVar=8.79e-04 | Y_range=1.65e-01
QUADRATIC FIT | N_pts=30 | Dim=5 | Cond=5.20e+01 | CoeffNorm=0.29 | NoiseVar=8.79e-04 | Y_range=1.65e-01
QUADRATIC FIT | N_pts=31 | Dim=5 | Cond=5.43e+01 | CoeffNorm=0.29 | NoiseVar=8.52e-04 | Y_range=1.65e-01
QUADRATIC FIT | N_pts=32 | Dim=5 | Cond=5.38e+01 | CoeffNorm=0.29 | NoiseVar=8.33e-04 | Y_range=1.65e-01
QUADRATIC FIT | N_pts=26 | Dim=5 | Cond=3.82e+01 | CoeffNorm=0.04 | NoiseVar=1.46e-05 | Y_range=3.64e-02
QUADRATIC FIT | N_pts=27 | Dim=5 | Cond=4.06e+01 | CoeffNorm=0.04 | NoiseVar=1.44e-05 | Y_range=3.64e-02
QUADRATIC FIT | N_pts=32 | Dim=5 | Cond=5.38e+01 | CoeffNorm=0.29 | NoiseVar=8.33e-04 | Y_range=1.65e-01
QUADRATIC FIT | N_pts=27 | Dim=5 | Cond=4.06e+01 | CoeffNorm=0.04 | NoiseVar=1.44e-05 | Y_range=3.64e-02
QUADRATIC FIT | N_pts=28 | Dim=5 | Cond=3.99e+01 | CoeffNorm=0.04 | NoiseVar=1.45e-05 | Y_range=3.64e-02
QUADRATIC FIT | N_pts=32 | Dim=5 | Cond=5.38e+01 | CoeffNorm=0.29 | NoiseVar=8.33e-04 | Y_range=1.65e-01
QUADRATIC FIT | N_pts=28 | Dim=5 | Cond=3.99e+01 | CoeffNorm=0.04 | NoiseVar=1.45e-05 | Y_range=3.64e-02
QUADRATIC FIT | N_pts=29 | Dim=5 | Cond=4.08e+01 | CoeffNorm=0.04 | NoiseVar=1.52e-05 | Y_range=3.64e-02
QUADRATIC FIT | N_pts=33 | Dim=5 | Cond=5.55e+01 | CoeffNorm=0.29 | NoiseVar=8.14e-04 | Y_range=1.65e-01
QUADRATIC FIT | N_pts=33 | Dim=5 | Cond=5.55e+01 | CoeffNorm=0.29 | NoiseVar=8.14e-04 | Y_range=1.65e-01
QUADRATIC FIT | N_pts=29 | Dim=5 | Cond=4.08e+01 | CoeffNorm=0.04 | NoiseVar=1.52e-05 | Y_range=3.64e-02
QUADRATIC FIT | N_pts=30 | Dim=5 | Cond=4.10e+01 | CoeffNorm=0.04 | NoiseVar=1.48e-05 | Y_range=3.64e-02
