FIT_QUALITY | Depth=0 | N_pts=11 | R2=0.4948 | NoiseVar=3.77e-03
FIT_QUALITY | Depth=0 | N_pts=12 | R2=0.5552 | NoiseVar=3.11e-03
FIT_QUALITY | Depth=0 | N_pts=13 | R2=0.4821 | NoiseVar=3.43e-03
FIT_QUALITY | Depth=0 | N_pts=14 | R2=0.4724 | NoiseVar=3.32e-03
FIT_QUALITY | Depth=0 | N_pts=15 | R2=0.5113 | NoiseVar=2.95e-03
FIT_QUALITY | Depth=0 | N_pts=15 | R2=0.5113 | NoiseVar=2.95e-03
FIT_QUALITY | Depth=0 | N_pts=16 | R2=0.5361 | NoiseVar=2.71e-03
FIT_QUALITY | Depth=0 | N_pts=17 | R2=0.5444 | NoiseVar=2.54e-03
FIT_QUALITY | Depth=0 | N_pts=18 | R2=0.5671 | NoiseVar=2.38e-03
FIT_QUALITY | Depth=0 | N_pts=19 | R2=0.4173 | NoiseVar=3.08e-03
FIT_QUALITY | Depth=0 | N_pts=20 | R2=0.4292 | NoiseVar=2.91e-03
FIT_QUALITY | Depth=0 | N_pts=20 | R2=0.4292 | NoiseVar=2.91e-03
FIT_QUALITY | Depth=0 | N_pts=21 | R2=0.3318 | NoiseVar=3.83e-03
FIT_QUALITY | Depth=1 | N_pts=15 | R2=0.4687 | NoiseVar=1.71e-03
FIT_QUALITY | Depth=1 | N_pts=15 | R2=0.8492 | NoiseVar=1.25e-03
FIT_QUALITY | Depth=1 | N_pts=15 | R2=0.8320 | NoiseVar=1.30e-03
FIT_QUALITY | Depth=1 | N_pts=15 | R2=0.4335 | NoiseVar=1.69e-03
FIT_QUALITY | Depth=1 | N_pts=15 | R2=0.8017 | NoiseVar=1.55e-03
FIT_QUALITY | Depth=1 | N_pts=15 | R2=0.7860 | NoiseVar=1.47e-03
FIT_QUALITY | Depth=1 | N_pts=15 | R2=0.4335 | NoiseVar=1.69e-03
FIT_QUALITY | Depth=1 | N_pts=15 | R2=0.7860 | NoiseVar=1.47e-03
FIT_QUALITY | Depth=1 | N_pts=15 | R2=0.7275 | NoiseVar=1.71e-03
FIT_QUALITY | Depth=1 | N_pts=15 | R2=0.7044 | NoiseVar=1.88e-03
FIT_QUALITY | Depth=1 | N_pts=15 | R2=0.3488 | NoiseVar=1.93e-03
FIT_QUALITY | Depth=1 | N_pts=15 | R2=0.3433 | NoiseVar=1.90e-03
FIT_QUALITY | Depth=1 | N_pts=15 | R2=0.3755 | NoiseVar=2.07e-03
FIT_QUALITY | Depth=1 | N_pts=15 | R2=0.3755 | NoiseVar=2.07e-03
FIT_QUALITY | Depth=1 | N_pts=15 | R2=0.7044 | NoiseVar=1.88e-03
FIT_QUALITY | Depth=1 | N_pts=16 | R2=0.6854 | NoiseVar=1.93e-03
FIT_QUALITY | Depth=1 | N_pts=17 | R2=0.6456 | NoiseVar=2.08e-03
FIT_QUALITY | Depth=1 | N_pts=18 | R2=0.6281 | NoiseVar=2.09e-03
FIT_QUALITY | Depth=1 | N_pts=19 | R2=0.6020 | NoiseVar=2.17e-03
FIT_QUALITY | Depth=1 | N_pts=16 | R2=0.3706 | NoiseVar=2.02e-03
FIT_QUALITY | Depth=1 | N_pts=16 | R2=0.3706 | NoiseVar=2.02e-03
FIT_QUALITY | Depth=1 | N_pts=19 | R2=0.6020 | NoiseVar=2.17e-03
FIT_QUALITY | Depth=1 | N_pts=17 | R2=0.3479 | NoiseVar=2.03e-03
FIT_QUALITY | Depth=1 | N_pts=18 | R2=0.3445 | NoiseVar=1.94e-03
FIT_QUALITY | Depth=1 | N_pts=19 | R2=0.3313 | NoiseVar=1.92e-03
FIT_QUALITY | Depth=1 | N_pts=20 | R2=0.3211 | NoiseVar=1.89e-03
